Asset Role,File / Folder,Drive URL,WordPress Reference,Authority State,Approved Job,Production Handling
Primary logo,Hook The Horizon Logo.png,https://drive.google.com/file/d/1dab79tDgHACfnVOSPX5mGzLG6-b3ihZf/view,WordPress media 234,Approved identity,Primary stacked full-color mark,Production identity
Monogram,Hook The Horizon Monogram.png,https://drive.google.com/file/d/1wiMmXOAz9fL73wCWH8aSlwsIqQRdvqL4/view,WordPress media 235,Approved identity,Compact/mobile/app mark,Production identity
Favicon,Hook The Horizon Faveicon.png,https://drive.google.com/file/d/1cFuowOsIcPUK2x21PtFSP-lLZMDTAvvH/view,WordPress media 232,Approved identity,Site icon derivatives,Production identity
Social avatar,Hook the Horizon Social.png,https://drive.google.com/file/d/1I7KLIGSU7gUPBzoJlXEz5Zp0-2U8qCaI/view,WordPress media 236,Approved identity,Square/circular social identity,Production identity
Monochrome positive,Hook the Horizon Black and white.png,https://drive.google.com/file/d/11hsGQmCsWhV4u9zVL--v5T1Anut7HFFI/view,WordPress media 230,Approved identity,One-color positive,Production identity
Reverse / BW,Hook The Horizon BW.png,https://drive.google.com/file/d/1pmjdhVS8kIRBbfOUlahwAabxZlVfMydU/view,WordPress media 231,Approved identity,Dark-background/reverse,Production identity
Icon system reference,Hook the Horizon icon.png,https://drive.google.com/file/d/1eIzxMOX0txrOHmkmcGV1DrCjk55WwNNf/view,WordPress media 233,Reference / production source,"Navigation, gear, technique, conditions icon grammar",Rebuild individual accessible SVGs
Dark style board,Hook the Horizon Style Reference.png,https://drive.google.com/file/d/1JE1UxePUZSHCtyCKUEFE4F2XFZf2mElP/view,WordPress media 223,Acceptance reference,"Dark visual expression, palette, type, textures and UI examples",Reference only
Light style board,Hook the Horizon Styke White.png,https://drive.google.com/file/d/1K06YndZ4m3W-y7kQztS1Vx6QYhDKTLTQ/view,WordPress media 222,Acceptance reference,"Light visual expression, palette, type, applications and merchandise",Reference only
Web mockup dark A,Hook The Horizon Web Mockup (1).png,https://drive.google.com/file/d/1GIM6FUqmx0tYFJp8acChKuf9p7xZyo55/view,WordPress media 220,Composition reference,Cinematic homepage and pathway composition,Reference only; ignore AI text artifacts
Web mockup dark B,Hook The Horizon Web Mockup (2).png,https://drive.google.com/file/d/1TL9lFNSu23cf0_XI44heO6gMXF8tf-JQ/view,WordPress media 221,Composition reference,Cinematic homepage and content cards,Reference only; ignore AI text artifacts
General imaging folder,Licensed Adobe Stock image pool,https://drive.google.com/drive/folders/1bkAFMmdEf9Lr6MCaTltXhznIoo5N8hOM,Multiple WordPress media IDs,Approved source pool,"Water, boats, landscapes, equipment, species, field action and regional context",Assign per route; preview files excluded
